SG_UF,ANO_ELEICAO,DS_CARGO,NM_CANDIDATO,SG_PARTIDO
AC,2018,GOVERNADOR,GLADSON DE LIMA CAMELI,PP
AC,2022,GOVERNADOR,GLADSON DE LIMA CAMELI,PP
AL,2018,GOVERNADOR,JOSE RENAN VASCONCELOS CALHEIROS FILHO,MDB
AL,2022,GOVERNADOR,PAULO SURUAGY DO AMARAL DANTAS,MDB
AM,2018,GOVERNADOR,WILSON MIRANDA LIMA,PSC
AM,2022,GOVERNADOR,WILSON MIRANDA LIMA,UNIÃO
AP,2018,GOVERNADOR,ANTONIO WALDEZ GÓES DA SILVA,PDT
AP,2022,GOVERNADOR,CLÉCIO LUÍS VILHENA VIEIRA,SOLIDARIEDADE
BA,2018,GOVERNADOR,RUI COSTA DOS SANTOS,PT
BA,2022,GOVERNADOR,JERÔNIMO RODRIGUES SOUZA,PT
CE,2018,GOVERNADOR,CAMILO SOBREIRA DE SANTANA,PT
CE,2022,GOVERNADOR,ELMANO DE FREITAS DA COSTA,PT
DF,2018,GOVERNADOR,IBANEIS ROCHA BARROS JUNIOR,MDB
DF,2022,GOVERNADOR,IBANEIS ROCHA BARROS JÚNIOR,MDB
ES,2018,GOVERNADOR,JOSE RENATO CASAGRANDE,PSB
ES,2022,GOVERNADOR,JOSÉ RENATO CASAGRANDE,PSB
GO,2018,GOVERNADOR,RONALDO RAMOS CAIADO,DEM
GO,2022,GOVERNADOR,RONALDO RAMOS CAIADO,UNIÃO
MA,2018,GOVERNADOR,FLÁVIO DINO DE CASTRO E COSTA,PC do B
MA,2022,GOVERNADOR,CARLOS ORLEANS BRANDÃO JÚNIOR,PSB
MG,2018,GOVERNADOR,ROMEU ZEMA NETO,NOVO
MG,2022,GOVERNADOR,ROMEU ZEMA NETO,NOVO
MS,2018,GOVERNADOR,REINALDO AZAMBUJA SILVA,PSDB
MS,2022,GOVERNADOR,EDUARDO CORREA RIEDEL,PSDB
MT,2018,GOVERNADOR,MAURO MENDES FERREIRA,DEM
MT,2022,GOVERNADOR,MAURO MENDES FERREIRA,UNIÃO
PA,2018,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB
PA,2022,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB
PB,2018,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB
PB,2022,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB
PE,2018,GOVERNADOR,PAULO HENRIQUE SARAIVA CÂMARA,PSB
PE,2022,GOVERNADOR,RAQUEL TEIXEIRA LYRA LUCENA,PSDB
PI,2018,GOVERNADOR,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT
PI,2022,GOVERNADOR,RAFAEL TAJRA FONTELES,PT
PR,2018,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD
PR,2022,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD
RJ,2018,GOVERNADOR,WILSON JOSÉ WITZEL,PSC
RJ,2022,GOVERNADOR,CLÁUDIO BOMFIM DE CASTRO E SILVA,PL
RN,2018,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT
RN,2022,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT
RO,2018,GOVERNADOR,MARCOS JOSE ROCHA DOS SANTOS,PSL
RO,2022,GOVERNADOR,MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO
RR,2018,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PSL
RR,2022,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PP
RS,2018,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB
RS,2022,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB
SC,2018,GOVERNADOR,CARLOS MOISÉS DA SILVA,PSL
SC,2022,GOVERNADOR,JORGINHO DOS SANTOS MELLO,PL
SE,2018,GOVERNADOR,BELIVALDO CHAGAS SILVA,PSD
SE,2022,GOVERNADOR,FÁBIO CRUZ MITIDIERI,PSD
SP,2018,GOVERNADOR,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,PSDB
SP,2022,GOVERNADOR,TARCISIO GOMES DE FREITAS,REPUBLICANOS
TO,2018,GOVERNADOR,MAURO CARLESSE,PHS
TO,2022,GOVERNADOR,WANDERLEI BARBOSA CASTRO,REPUBLICANOS
