SG_UF,ANO_ELEICAO,SG_PARTIDO,austeridade
AC,2018,PP,0
AC,2022,PP,0
AL,2018,MDB,0
AL,2022,MDB,0
AM,2018,PSC,0
AM,2022,UNIÃO,1
AP,2018,PDT,0
AP,2022,SOLIDARIEDADE,0
BA,2018,PT,0
BA,2022,PT,0
CE,2018,PT,0
CE,2022,PT,0
DF,2018,MDB,0
DF,2022,MDB,0
ES,2018,PSB,0
ES,2022,PSB,0
GO,2018,DEM,1
GO,2022,UNIÃO,1
MA,2018,PC do B,0
MA,2022,PSB,0
MG,2018,NOVO,1
MG,2022,NOVO,1
MS,2018,PSDB,1
MS,2022,PSDB,1
MT,2018,DEM,1
MT,2022,UNIÃO,1
PA,2018,MDB,0
PA,2022,MDB,0
PB,2018,PSB,0
PB,2022,PSB,0
PE,2018,PSB,0
PE,2022,PSDB,1
PI,2018,PT,0
PI,2022,PT,0
PR,2018,PSD,1
PR,2022,PSD,1
RJ,2018,PSC,0
RJ,2022,PL,1
RN,2018,PT,0
RN,2022,PT,0
RO,2018,PSL,0
RO,2022,UNIÃO,1
RR,2018,PSL,0
RR,2022,PP,0
RS,2018,PSDB,1
RS,2022,PSDB,1
SC,2018,PSL,0
SC,2022,PL,1
SE,2018,PSD,1
SE,2022,PSD,1
SP,2018,PSDB,1
SP,2022,REPUBLICANOS,1
TO,2018,PHS,0
TO,2022,REPUBLICANOS,1
