SG_UF,ANO_ELEICAO,DS_CARGO,NM_CANDIDATO,SG_PARTIDO,austeridade,reeleito,mesmopartido
AC,2018,GOVERNADOR,GLADSON DE LIMA CAMELI,PP,0,0,0
AC,2022,GOVERNADOR,GLADSON DE LIMA CAMELI,PP,0,1,1
AL,2018,GOVERNADOR,JOSE RENAN VASCONCELOS CALHEIROS FILHO,MDB,0,1,1
AL,2022,GOVERNADOR,PAULO SURUAGY DO AMARAL DANTAS,MDB,0,0,1
AM,2018,GOVERNADOR,WILSON MIRANDA LIMA,PSC,0,0,0
AM,2022,GOVERNADOR,WILSON MIRANDA LIMA,UNIÃO,1,1,0
AP,2018,GOVERNADOR,ANTONIO WALDEZ GÓES DA SILVA,PDT,0,0,1
AP,2022,GOVERNADOR,CLÉCIO LUÍS VILHENA VIEIRA,SOLIDARIEDADE,0,0,0
BA,2018,GOVERNADOR,RUI COSTA DOS SANTOS,PT,0,1,1
BA,2022,GOVERNADOR,JERÔNIMO RODRIGUES SOUZA,PT,0,0,1
CE,2018,GOVERNADOR,CAMILO SOBREIRA DE SANTANA,PT,0,1,1
CE,2022,GOVERNADOR,ELMANO DE FREITAS DA COSTA,PT,0,0,1
DF,2018,GOVERNADOR,IBANEIS ROCHA BARROS JUNIOR,MDB,0,0,0
DF,2022,GOVERNADOR,IBANEIS ROCHA BARROS JÚNIOR,MDB,0,0,1
ES,2018,GOVERNADOR,JOSE RENATO CASAGRANDE,PSB,0,0,0
ES,2022,GOVERNADOR,JOSÉ RENATO CASAGRANDE,PSB,0,0,1
GO,2018,GOVERNADOR,RONALDO RAMOS CAIADO,DEM,1,0,0
GO,2022,GOVERNADOR,RONALDO RAMOS CAIADO,UNIÃO,1,1,0
MA,2018,GOVERNADOR,FLÁVIO DINO DE CASTRO E COSTA,PC do B,0,0,1
MA,2022,GOVERNADOR,CARLOS ORLEANS BRANDÃO JÚNIOR,PSB,0,0,0
MG,2018,GOVERNADOR,ROMEU ZEMA NETO,NOVO,1,0,0
MG,2022,GOVERNADOR,ROMEU ZEMA NETO,NOVO,1,1,1
MS,2018,GOVERNADOR,REINALDO AZAMBUJA SILVA,PSDB,1,1,1
MS,2022,GOVERNADOR,EDUARDO CORREA RIEDEL,PSDB,1,0,1
MT,2018,GOVERNADOR,MAURO MENDES FERREIRA,DEM,1,0,0
MT,2022,GOVERNADOR,MAURO MENDES FERREIRA,UNIÃO,1,1,0
PA,2018,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB,0,0,0
PA,2022,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB,0,1,1
PB,2018,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB,0,0,1
PB,2022,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB,0,1,1
PE,2018,GOVERNADOR,PAULO HENRIQUE SARAIVA CÂMARA,PSB,0,1,1
PE,2022,GOVERNADOR,RAQUEL TEIXEIRA LYRA LUCENA,PSDB,1,0,0
PI,2018,GOVERNADOR,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT,0,1,1
PI,2022,GOVERNADOR,RAFAEL TAJRA FONTELES,PT,0,0,1
PR,2018,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD,1,0,0
PR,2022,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD,1,1,1
RJ,2018,GOVERNADOR,WILSON JOSÉ WITZEL,PSC,0,0,0
RJ,2022,GOVERNADOR,CLÁUDIO BOMFIM DE CASTRO E SILVA,PL,1,0,0
RN,2018,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT,0,0,0
RN,2022,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT,0,1,1
RO,2018,GOVERNADOR,MARCOS JOSE ROCHA DOS SANTOS,PSL,0,0,0
RO,2022,GOVERNADOR,MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO,1,0,0
RR,2018,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PSL,0,0,0
RR,2022,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PP,0,1,0
RS,2018,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,1,0,0
RS,2022,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,1,1,1
SC,2018,GOVERNADOR,CARLOS MOISÉS DA SILVA,PSL,0,0,0
SC,2022,GOVERNADOR,JORGINHO DOS SANTOS MELLO,PL,1,0,0
SE,2018,GOVERNADOR,BELIVALDO CHAGAS SILVA,PSD,1,0,0
SE,2022,GOVERNADOR,FÁBIO CRUZ MITIDIERI,PSD,1,0,1
SP,2018,GOVERNADOR,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,PSDB,1,0,1
SP,2022,GOVERNADOR,TARCISIO GOMES DE FREITAS,REPUBLICANOS,1,0,0
TO,2018,GOVERNADOR,MAURO CARLESSE,PHS,0,1,1
TO,2022,GOVERNADOR,WANDERLEI BARBOSA CASTRO,REPUBLICANOS,1,0,0
