"uf","ano","dcl_valor","pessoal_pct_rcl"
"AC",2018,3565447361.66,48.01
"AC",2019,3116891714.76,53.74
"AC",2020,3337029841.69,52.69
"AC",2021,2847799048.3,51.44
"AC",2022,2505321600.2,46.36
"AC",2023,2051523707.6,48.41
"AC",2024,1978574844.3,46.77
"AL",2018,6816346130.58,48.69
"AL",2019,6404121918.62,44.71
"AL",2020,5813489668.41,39.78
"AL",2021,4758264282.23,35.6
"AL",2022,7245315323.33,40.9
"AL",2023,10136310099.65,43.01
"AL",2024,12826319221.78,36.08
"AM",2018,4592048685.66,48.33
"AM",2019,4389403494.49,49.65
"AM",2020,2824602083.44,48.35
"AM",2021,4214587056.13,46.7
"AM",2022,5234361919.01,41.1
"AM",2023,5899488951.38,40.17
"AM",2024,7870287608.93,38.77
"AP",2018,60719662.15,40.07
"AP",2019,1933086021.11,39.25
"AP",2020,2501412723.79,45.46
"AP",2021,-1381052248.42,42.32
"AP",2022,2272123568.62,40.95
"AP",2023,831229294.22,41.72
"AP",2024,-609138088.09,43.51
"BA",2018,20493581886.07,46.13
"BA",2019,21526711938.65,43.85
"BA",2020,21511870767.47,40.95
"BA",2021,17279788545.69,35.57
"BA",2022,16654259235.6,36.2
"BA",2023,20841097280.44,39.98
"BA",2024,24083252428.23,41.65
"CE",2018,10962426243.3,42.3
"CE",2019,10995170453.7,41.64
"CE",2020,11973622896.16,40.55
"CE",2021,11108323624.65,39.01
"CE",2022,10217259286.86,42.83
"CE",2023,9501906885.65,44.73
"CE",2024,12002714794.04,43.54
"DF",2018,7647511389.65,43.46
"DF",2019,8116311054.94,43.54
"DF",2020,8193094652.79,42.05
"DF",2021,5804218402.03,39.52
"DF",2022,7754224548.11,44.17
"DF",2023,7629947173.37,34.8
"DF",2024,4714681093.9,39.57
"ES",2018,2571462430.89,41.69
"ES",2019,2223050665.95,36.34
"ES",2020,1415320262.92,38.81
"ES",2021,-153394286.9,34.81
"ES",2022,-881047592.28,37.48
"ES",2023,-1482685202.11,38.29
"ES",2024,-2564649397.74,36.05
"GO",2018,19634872554.19,44.34
"GO",2019,19245475967.33,49.39
"GO",2020,19062051830.87,44.91
"GO",2021,14467794173.01,38.28
"GO",2022,12098544318.12,40.52
"GO",2023,11329627042.88,43.23
"GO",2024,10284487937.56,41.7
"MA",2018,7144367665.42,46.83
"MA",2019,6549951976.7,43.26
"MA",2020,6816589736.78,37.51
"MA",2021,7550852448.33,37.46
"MA",2022,9122675760.38,30.98
"MA",2023,4433520205.58,36.57
"MA",2024,893355845.36,31.04
"MG",2018,106509252863.25,66.65
"MG",2019,122689225818.41,58.42
"MG",2020,133034157590.97,53.93
"MG",2021,139627969996.34,48.68
"MG",2022,143460121619.17,48.44
"MG",2023,154911175844.7,51.37
"MG",2024,168246208541.47,48.8
"MS",2018,7772360847.06,47.22
"MS",2019,7336176672.87,47.08
"MS",2020,5743560601.88,41.87
"MS",2021,3383342191.6,40.62
"MS",2022,4065562381.86,39.13
"MS",2023,3122318759,44.64
"MS",2024,5025008538.69,45.2
"MT",2018,6545475690.11,57.89
"MT",2019,4647164634.6,52.38
"MT",2020,877424041.04,44.24
"MT",2021,-4333588005.47,37.67
"MT",2022,-7186553063.55,36.25
"MT",2023,-6127242617.24,37.5
"MT",2024,-4768428528.31,37.78
"PA",2018,2504137074.85,47.16
"PA",2019,1628941745.09,43.52
"PA",2020,526796068.22,38.69
"PA",2021,445306848.81,40.29
"PA",2022,-257306412.73,38.93
"PA",2023,1644663922.03,42.24
"PA",2024,2952732846.32,40.55
"PB",2018,3115454034.35,50.61
"PB",2019,2382452799,48.86
"PB",2020,1233663646.5,51.24
"PB",2021,-400261759.07,47.39
"PB",2022,-974981251.99,45.33
"PB",2023,-195385655.48,47.88
"PB",2024,-448693341.72,48.27
"PE",2018,14133950279.71,47.94
"PE",2019,13257592921.29,46.91
"PE",2020,13081473274.29,45.8
"PE",2021,11325610707.1,41.04
"PE",2022,12970167751.7,43.03
"PE",2023,12069013825.15,44.56
"PE",2024,13166810527.22,40.55
"PI",2018,4356652695.42,48.52
"PI",2019,5181842289.41,48.12
"PI",2020,4367120256.94,39.29
"PI",2021,5369389881.72,40.28
"PI",2022,6891399275.12,42.25
"PI",2023,7236756157.34,40.15
"PI",2024,10752874948.48,41.66
"PR",2018,14496730265.82,44.57
"PR",2019,17020942622.37,45.18
"PR",2020,14924881202.63,45.76
"PR",2021,10649697458.29,42.19
"PR",2022,5930740824.7,40.68
"PR",2023,-2871059058.91,43.23
"PR",2024,-3353900879.9,42.71
"RJ",2018,153260795622,37.36
"RJ",2019,165205177757,39.31
"RJ",2020,189818780213.94,46.53
"RJ",2021,163820921059.24,40.59
"RJ",2022,150831074231.2,45.83
"RJ",2023,166127083116.78,47.47
"RJ",2024,195944554023.44,46.76
"RN",2018,4125439551.09,63.64
"RN",2019,3253299160.95,60.56
"RN",2020,3996480721.14,54.81
"RN",2021,4225103797.82,54.57
"RN",2022,4289752898.32,53.37
"RN",2023,4101520827.02,56.94
"RN",2024,6932442046.08,57.56
"RO",2018,3261653355.35,41.92
"RO",2019,2161693659.31,39.87
"RO",2020,1781041360.98,37.57
"RO",2021,-510393984.68,36.77
"RO",2022,568748060.64,39.25
"RO",2023,670219995.6,38.23
"RO",2024,-190484106.29,37.41
"RR",2018,1182410325.82,45.44
"RR",2019,1627286620.94,45.73
"RR",2020,270118035.41,42.35
"RR",2021,-165842493.62,38.28
"RR",2022,262536660.15,44.93
"RR",2023,366451155.82,49.28
"RR",2024,776399826.21,47.27
"RS",2018,84197552159.86,46.59
"RS",2019,89255394238,45.6
"RS",2020,93262905408.12,42.49
"RS",2021,98327576543.86,41.37
"RS",2022,100842876941.11,47.88
"RS",2023,104898747726.42,45.03
"RS",2024,110719293633.26,43.72
"SC",2018,21166285852.22,48.76
"SC",2019,20146899402.5,45.75
"SC",2020,19022083882.79,44.92
"SC",2021,16480920704.79,43.14
"SC",2022,16236773950.14,41.83
"SC",2023,13660618693.01,42.59
"SC",2024,13184663137.39,39.66
"SE",2018,3400013691.54,47.52
"SE",2019,3695263444.12,46.84
"SE",2020,3364371947.53,47.38
"SE",2021,2843275395.19,44.81
"SE",2022,3543671294.86,44
"SE",2023,2884664295.48,43.76
"SE",2024,1764039149.17,40.37
"SP",2018,279672335188.3,43.36
"SP",2019,266730147182.02,44.4
"SP",2020,274907386935.5,45.48
"SP",2021,249588126649.45,38.69
"SP",2022,264679333857.63,37.93
"SP",2023,293473507896.39,42.33
"SP",2024,317655576689.71,42.19
"TO",2018,4570176997.01,57.89
"TO",2019,4564454228.92,46.92
"TO",2020,3246271201.31,45.27
"TO",2021,1970008799.89,40.31
"TO",2022,919652860.08,39.35
"TO",2023,599525761.68,44.87
"TO",2024,1598398609.4,46.32
