"uf","ano","dcl","pop","pib_prc","rcl","rcla","dtp","percentual_dtp_rcla"
"AC",2019,3116891714.76,869265,15630017000,5357455833.49,5357455833.49,2878920740.24,53.74
"AC",2020,3337029841.69,881935,16476371000,5702871320.41,5702871320.41,3004990857.76,52.69
"AC",2021,2847799048.3,894470,21374440000,6690645735.4,6651119664.37,3421542980.77,51.44
"AC",2022,2505321600.2,906876,23676136000,7994706978.25,7968319334.47,3694040445.88,46.36
"AC",2023,2051523707.6,906876,26291321000,8573004133.41,8496046337,4113347412.24,48.41
"AC",2024,1978574844.3,829780,0,10111234207.99,10002459245.99,4678325451.34,46.77
"AL",2019,6404121918.62,3322820,58963729000,8559007201.96,8559007201.96,3826567689.89,44.71
"AL",2020,5813489668.41,3337357,63202349000,10059495938.65,10049336938.65,3997127893.83,39.78
"AL",2021,4758264282.23,3351543,76265620000,12528914436.01,12461508202.01,4436804441.02,35.6
"AL",2022,7245315323.33,3365351,76065806000,13177911886.17,13148926097,5378104800.18,40.9
"AL",2023,10136310099.65,3365351,89688932000,14465051819.55,14360996244.55,6177056413.83,43.01
"AL",2024,12826319221.78,3125254,0,16937628981.2,16855656906.2,6081912333.96,36.08
"AM",2019,4389403494.49,4080611,108181091000,14982882075.02,14982582075.02,7438739394.66,49.65
"AM",2020,2824602083.44,4144597,116019139000,16459910905.99,16446343905.99,7951177661.36,48.35
"AM",2021,4214587056.13,4207714,131531038000,18994133782.72,18992933782.72,8868969581.52,46.7
"AM",2022,5234361919.01,4269995,145140465000,22412466141.44,22401830451.37,9208124074.5,41.1
"AM",2023,5899488951.38,4269995,161794976000,22825805777.35,22714039476.11,9124096841.81,40.17
"AM",2024,7870287608.93,3952262,0,26591617078.66,26423983318.48,10243519421.27,38.77
"AP",2019,1933086021.11,829494,17496661000,5589424463.75,5589424463.75,2193946642.38,39.25
"AP",2020,2501412723.79,845731,18469115000,6301875689.02,6301875689.02,2864951211.22,45.46
"AP",2021,-1381052248.42,861773,20099851000,6652811595.54,6648761609.54,2814065373.18,42.32
"AP",2022,2272123568.62,877613,23614291000,7244043461.07,7241952761.07,2965508745.55,40.95
"AP",2023,831229294.22,877613,28020120000,8040259665.33,8031196783.33,3350685150.87,41.72
"AP",2024,-609138088.09,774268,0,8871334502.27,8857393483.27,3853904262.22,43.51
"BA",2019,21526711938.65,14812617,293240504000,34525803568.62,34510250369.67,15131125542.49,43.85
"BA",2020,21511870767.47,14873064,305320813000,37877609907.56,37772850289,15468086461.27,40.95
"BA",2021,17279788545.69,14930634,352617852000,45445462102.68,45333569085.44,16124197131.55,35.57
"BA",2022,16654259235.6,14985284,402646606000,55345564180.74,55298488312.14,20016762318.92,36.2
"BA",2023,20841097280.44,14985284,430987853000,57229420301.19,57104634776.24,22830217611.12,39.98
"BA",2024,24083252428.23,14659023,0,65047362383.36,64853815964.77,27008463740.78,41.65
"CE",2019,10995170453.7,9075649,163575327000,20882025052.84,20870241722.9,8689988993.61,41.64
"CE",2020,11973622896.16,9132078,166914536000,22028314984.46,21886952291.67,8876096988.47,40.55
"CE",2021,11108323624.65,9187103,194884802000,25170813561.04,25061058356.04,9775708014.38,39.01
"CE",2022,10217259286.86,9240580,213600674000,30383651351.44,30294830171.62,12973958990.16,42.83
"CE",2023,9501906885.65,9240580,232239257000,31973785169.88,31881281765.51,14260946217.11,44.73
"CE",2024,12002714794.04,8936431,0,36362436745.35,36164440163.06,15745937045.72,43.54
"DF",2019,8116311054.94,2974703,273613711000,22503460737.24,22331538680.11,9722118283.78,43.54
"DF",2020,8193094652.79,3015268,265847334000,25058903184.98,24927784436.45,10483224283.34,42.05
"DF",2021,5804218402.03,3055149,286943782000,28277263875.4,28236776876.68,11159326403.23,39.52
"DF",2022,7754224548.11,3094325,328789563000,29460072799.32,29377546367.89,12974790069.38,44.17
"DF",2023,7629947173.37,3094325,365669108000,33214094007.28,33092088967.5,11514575882.2,34.8
"DF",2024,4714681093.9,2923369,0,36114673966.81,35826652617.08,14177016338.84,39.57
"ES",2019,2223050665.95,3972388,137345595000,15832886168.2,15809748394.2,5745534447.55,36.34
"ES",2020,1415320262.92,4018650,138445922000,15640877344.22,15575541229.22,6045015125.18,38.81
"ES",2021,-153394286.9,4064052,186336505000,18821227339.89,18772686660.89,6535667071.56,34.81
"ES",2022,-881047592.28,4108508,182548590000,21250420141.8,21193712380.06,7943796746.4,37.48
"ES",2023,-1482685202.11,4108508,209829732000,22373375355.79,22306473322.99,8540463514.25,38.29
"ES",2024,-2564649397.74,3975100,0,26359045239.21,26201081254.36,9445071057.65,36.05
"GO",2019,19245475967.33,6921161,208672492000,24538621316.63,24528200542.63,12115174743.78,49.39
"GO",2020,19062051830.87,7018354,224126112000,26323342281.46,26290021366.46,11808078065,44.91
"GO",2021,14467794173.01,7113540,269627874000,31545320020.2,31539191641.68,12074218898.08,38.28
"GO",2022,12098544318.12,7206589,318586149000,37208349134.32,37199050718.19,15071585070.25,40.52
"GO",2023,11329627042.88,7206589,336746975000,38407128875.35,38364025884.94,16584481321.85,43.23
"GO",2024,10284487937.56,6950976,0,42330061506.3,42238430239.42,17612043485.39,41.7
"MA",2019,6549951976.7,7035055,97339938000,14698617424.86,14698617424.86,6358169034.58,43.26
"MA",2020,6816589736.78,7075181,106915962000,16314807210.65,16269470610.65,6101954546.19,37.51
"MA",2021,7550852448.33,7114598,124980720000,18273349131.85,18267505838.53,6842903594.42,37.46
"MA",2022,9122675760.38,7153262,139789146000,22168930851.27,22164626544.27,6866320439.94,30.98
"MA",2023,4433520205.58,7153262,149227195000,23120999553.98,23035610845.58,8424324260.15,36.57
"MA",2024,893355845.36,6800605,0,29586751705.73,29521762934.73,9163249776.52,31.04
"MG",2019,122689225818.41,21040662,651872684000,64068169194.3,64068169194.3,37427634895.84,58.42
"MG",2020,133034157590.97,21168791,682786116000,70585665374.16,70579703124.16,38063087517.5,53.93
"MG",2021,139627969996.34,21292666,857593214000,82453583803.79,82432561595.79,40125369667.92,48.68
