"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","Tipo_Valor","Rubrica","VALUE","QT_HABITANTE","ELEMENTLABEL","NO_ORGAO","dh_consulta"
"2019","1","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","4991986419.47","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","1","Q","E","M","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","4991986419.47","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","2","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5101762895.33","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","1","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","4991986419.47","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","1","Q","E","J","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","4991986419.47","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","3","Q","E","M","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5357455833.49","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","3","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5357455833.49","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","1","Q","E","E","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","4991986419.47","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","3","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5357455833.49","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","2","Q","E","J","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5101762895.33","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","2","Q","E","M","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5101762895.33","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","2","Q","E","L","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5101762895.33","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","2","Q","E","E","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5101762895.33","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","3","Q","E","E","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5357455833.49","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
"2019","3","Q","E","J","12","Acre","AC","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5357455833.49","869265","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Acre","##------ Sun Mar  1 15:47:30 2026 ------##"
