"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","Tipo_Valor","Rubrica","VALUE","QT_HABITANTE","ELEMENTLABEL","NO_ORGAO","dh_consulta"
"2019","2","Q","E","J","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5390424376.71","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","1","Q","E","E","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5109514083.44","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","3","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5589424463.75","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","2","Q","E","E","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5390424376.71","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","1","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5109514083.44","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","3","Q","E","E","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5589424463.75","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Governo do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","3","Q","E","J","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5589424463.75","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","1","Q","E","J","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5109514083.44","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Justiça do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","2","Q","E","M","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5390424376.71","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","1","Q","E","M","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5109514083.44","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","3","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5590141391.93","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","2","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5390424376.71","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Assembleia Legislativa do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","3","Q","E","M","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5589424463.75","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Ministério Público do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","2","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5390424376.71","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
"2019","1","Q","E","L","16","Amapá","AP","Valor","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","5109514083.44","829494","= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)","Tribunal de Contas do Estado do Amapá","##------ Sun Mar  1 15:52:41 2026 ------##"
